Id,Order_Date,Customer_Id,Store_Id,Payment_Method
1095,18/11/2024,66,1,Credit Card
1096,24/07/2024,19,1,Credit Card
1097,11/05/2024,158,3,Debit Card
1098,31/03/2025,80,2,Cash
1099,20/07/2024,188,3,Cash
1100,05/05/2024,44,1,Debit Card
1101,11/04/2024,368,6,Cash
1102,17/04/2024,459,6,Credit Card
1103,03/04/2024,127,2,UPI
1104,01/04/2024,250,4,Debit Card
1105,03/12/2024,81,2,Cash
1106,18/02/2025,315,5,Cash
1107,25/02/2025,215,3,UPI
1108,27/01/2025,195,3,Credit Card
1109,11/08/2024,365,5,UPI
1110,16/07/2024,338,5,Cash
1111,05/12/2024,271,4,Credit Card
1112,25/03/2025,388,6,Debit Card
1113,09/01/2025,89,2,Cash
1114,14/07/2024,487,6,Credit Card
1115,24/07/2024,166,3,Debit Card
1116,06/03/2025,58,1,Debit Card
1117,01/08/2024,24,1,Cash
1118,08/06/2024,32,1,UPI
1119,09/02/2025,313,5,Cash
1120,16/08/2024,325,5,Cash
1121,26/08/2024,149,3,Credit Card
1122,08/04/2024,328,5,Cash
1123,21/02/2025,48,1,Credit Card
1124,22/02/2025,218,3,Debit Card
1125,04/08/2024,113,2,UPI
1126,10/09/2024,13,1,Debit Card
1127,16/04/2024,416,6,Debit Card
1128,03/12/2024,351,5,Cash
1129,04/03/2025,46,1,Debit Card
1130,22/11/2024,444,6,Debit Card
1131,16/02/2025,282,4,Cash
1132,20/04/2024,266,4,Debit Card
1133,31/03/2025,143,2,Debit Card
1134,29/01/2025,386,6,Debit Card
1135,21/12/2024,464,6,Cash
1136,20/06/2024,176,3,Debit Card
1137,08/05/2024,97,2,Credit Card
1138,27/07/2024,28,1,Cash
1139,22/12/2024,154,3,Credit Card
1140,10/11/2024,356,5,Cash
1141,03/12/2024,313,5,UPI
1142,01/07/2024,221,4,UPI
1143,23/09/2024,343,5,UPI
1144,12/09/2024,69,1,UPI
1145,25/11/2024,318,5,Credit Card
1146,04/11/2024,43,1,Cash
1147,25/07/2024,35,1,UPI
1148,30/01/2025,352,5,Credit Card
1149,15/02/2025,100,2,Cash
1150,07/02/2025,255,4,Debit Card
1151,25/09/2024,108,2,Credit Card
1152,13/04/2024,215,3,Credit Card
